timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733391327812,762,BFF Ongoing Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-247,text,true,,1669,925,400,400,http://bff.int-lt:3000/api/v2/journey/ongoing,756,0,0
1733391327220,1415,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-282,text,true,,1959,1088,400,400,http://bff.int-lt:3000/api/v2/station/sengkang-compassvaleroad-blk203-deck1a/reserve-car,1408,0,15
1733391329820,192,BFF Start Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-200,text,true,,1273,1067,400,400,http://bff.int-lt:3000/api/v2/journey/start,192,0,17
1733391331118,255,BFF Start Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-228,text,true,,1273,1068,400,400,http://bff.int-lt:3000/api/v2/journey/start,255,0,60
1733391331225,629,BFF Ongoing Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-247,text,true,,1669,925,400,400,http://bff.int-lt:3000/api/v2/journey/ongoing,622,0,0
1733391331416,1029,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-132,text,true,,1971,1085,400,400,http://bff.int-lt:3000/api/v2/station/clementi-clementiweststreet2-blk727/reserve-car,1027,0,18
1733391332190,803,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-261,text,true,,1949,1083,400,400,http://bff.int-lt:3000/api/v2/station/queenstown-hollanddr-blk18-deck1a/reserve-car,797,0,19
1733391332085,1124,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-289,text,true,,1965,1091,400,400,http://bff.int-lt:3000/api/v2/station/sengkang-rivervalecrescent-blk146a-deck1b/reserve-car,1117,0,60
1733391336941,868,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-152,text,true,,1959,1079,400,400,http://bff.int-lt:3000/api/v2/station/hougang-hougangavenue1-blk118/reserve-car,861,0,26
1733391337076,782,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-66,text,true,,1973,1082,400,400,http://bff.int-lt:3000/api/v2/station/bukitmerah-jalanmembina-blk26-deck2a/reserve-car,775,0,17
